
 The feature 12 is ranked 38 and comes from method N°:  1  (spect_fourier_power); channel N°: 1(Fp1); band N°: 6(Gamma     : [32 45] Hz); power type N°: 2, Type : Retalive.
 The feature 121 is ranked 39 and comes from method N°:  1  (spect_fourier_power); channel N°: 8(Cz); band N°: 5(Beta      : [16 32] Hz); power type N°: 1, Type : Absolute.
 The feature 124 is ranked 40 and comes from method N°:  1  (spect_fourier_power); channel N°: 8(Cz); band N°: 6(Gamma     : [32 45] Hz); power type N°: 2, Type : Retalive.
 The feature 74 is ranked 41 and comes from method N°:  1  (spect_fourier_power); channel N°: 5(Fz); band N°: 5(Beta      : [16 32] Hz); power type N°: 2, Type : Retalive.
 The feature 46 is ranked 42 and comes from method N°:  1  (spect_fourier_power); channel N°: 3(F7); band N°: 7(Gamma_high: [45 90] Hz); power type N°: 2, Type : Retalive.
 The feature 9 is ranked 43 and comes from method N°:  1  (spect_fourier_power); channel N°: 1(Fp1); band N°: 5(Beta      : [16 32] Hz); power type N°: 1, Type : Absolute.
 The feature 103 is ranked 44 and comes from method N°:  1  (spect_fourier_power); channel N°: 7(F8); band N°: 4(Alpha     : [12 16] Hz); power type N°: 1, Type : Absolute.
 The feature 234 is ranked 45 and comes from method N°:  1  (spect_fourier_power); channel N°: 15(Oz); band N°: 5(Beta      : [16 32] Hz); power type N°: 2, Type : Retalive.
 The feature 230 is ranked 46 and comes from method N°:  1  (spect_fourier_power); channel N°: 15(Oz); band N°: 3(Mu        : [8 12] Hz); power type N°: 2, Type : Retalive.
 The feature 95 is ranked 47 and comes from method N°:  1  (spect_fourier_power); channel N°: 6(F4); band N°: 8(all bands or not applied filters...); power type N°: 1, Type : Absolute.
 The feature 4 is ranked 48 and comes from method N°:  1  (spect_fourier_power); channel N°: 1(Fp1); band N°: 2(Theta     : [4 8] Hz); power type N°: 2, Type : Retalive.
 The feature 127 is ranked 49 and comes from method N°:  1  (spect_fourier_power); channel N°: 8(Cz); band N°: 8(all bands or not applied filters...); power type N°: 1, Type : Absolute.
 The feature 108 is ranked 50 and comes from method N°:  1  (spect_fourier_power); channel N°: 7(F8); band N°: 6(Gamma     : [32 45] Hz); power type N°: 2, Type : Retalive.
 The feature 59 is ranked 51 and comes from method N°:  1  (spect_fourier_power); channel N°: 4(F3); band N°: 6(Gamma     : [32 45] Hz); power type N°: 1, Type : Absolute.
 The feature 252 is ranked 52 and comes from method N°:  1  (spect_fourier_power); channel N°: 16(O2); band N°: 6(Gamma     : [32 45] Hz); power type N°: 2, Type : Retalive.
 The feature 122 is ranked 53 and comes from method N°:  1  (spect_fourier_power); channel N°: 8(Cz); band N°: 5(Beta      : [16 32] Hz); power type N°: 2, Type : Retalive.
 The feature 5 is ranked 54 and comes from method N°:  1  (spect_fourier_power); channel N°: 1(Fp1); band N°: 3(Mu        : [8 12] Hz); power type N°: 1, Type : Absolute.
 The feature 102 is ranked 55 and comes from method N°:  1  (spect_fourier_power); channel N°: 7(F8); band N°: 3(Mu        : [8 12] Hz); power type N°: 2, Type : Retalive.
 The feature 194 is ranked 56 and comes from method N°:  1  (spect_fourier_power); channel N°: 13(P4); band N°: 1(Delta     : [0.1 4] Hz); power type N°: 2, Type : Retalive.
 The feature 151 is ranked 57 and comes from method N°:  1  (spect_fourier_power); channel N°: 10(CP6); band N°: 4(Alpha     : [12 16] Hz); power type N°: 1, Type : Absolute.
 The feature 181 is ranked 58 and comes from method N°:  1  (spect_fourier_power); channel N°: 12(Pz); band N°: 3(Mu        : [8 12] Hz); power type N°: 1, Type : Absolute.
 The feature 56 is ranked 59 and comes from method N°:  1  (spect_fourier_power); channel N°: 4(F3); band N°: 4(Alpha     : [12 16] Hz); power type N°: 2, Type : Retalive.
 The feature 197 is ranked 60 and comes from method N°:  1  (spect_fourier_power); channel N°: 13(P4); band N°: 3(Mu        : [8 12] Hz); power type N°: 1, Type : Absolute.
 The feature 66 is ranked 61 and comes from method N°:  1  (spect_fourier_power); channel N°: 5(Fz); band N°: 1(Delta     : [0.1 4] Hz); power type N°: 2, Type : Retalive.
 The feature 79 is ranked 62 and comes from method N°:  1  (spect_fourier_power); channel N°: 5(Fz); band N°: 8(all bands or not applied filters...); power type N°: 1, Type : Absolute.
 The feature 200 is ranked 63 and comes from method N°:  1  (spect_fourier_power); channel N°: 13(P4); band N°: 4(Alpha     : [12 16] Hz); power type N°: 2, Type : Retalive.
 The feature 205 is ranked 64 and comes from method N°:  1  (spect_fourier_power); channel N°: 13(P4); band N°: 7(Gamma_high: [45 90] Hz); power type N°: 1, Type : Absolute.
 The feature 132 is ranked 65 and comes from method N°:  1  (spect_fourier_power); channel N°: 9(CP5); band N°: 2(Theta     : [4 8] Hz); power type N°: 2, Type : Retalive.
 The feature 10 is ranked 66 and comes from method N°:  1  (spect_fourier_power); channel N°: 1(Fp1); band N°: 5(Beta      : [16 32] Hz); power type N°: 2, Type : Retalive.
